Ámbito,Partido,Votos
URKABUSTAIZ,PP,21
VALDEGOVÍA/GAUBEA,PP,70
HARANA/VALLE DE ARANA,PP,12
VILLABUENA DE ÁLAVA/ESKUERNAGA,PP,13
LEGUTIO,PP,21
YÉCORA/IEKORA,PP,44
ZALDUONDO,PP,0
ZAMBRANA,PP,52
ZUIA,PP,83
IRUÑA OKA/IRUÑA DE OCA,PP,166
LANTARÓN,PP,94
AMURRIO,PP,254
ARTZINIEGA,PP,83
AYALA/AIARA,PP,65
LAUDIO/LLODIO,PP,551
OKONDO,PP,13
MUNICIPIO CERA ARABA,PP,25
BILBAO,PP,14729
ABANTO Y CIÉRVANA-ABANTO ZIERBENA,PP,94
ARTZENTALES,PP,3
BARAKALDO,PP,2991
KARRANTZA HARANA/VALLE DE CARRANZA,PP,34
GALDAMES,PP,4
GORDEXOLA,PP,56
GÜEÑES,PP,103
LANESTOSA,PP,0
MUSKIZ,PP,84
PORTUGALETE,PP,1499
VALLE DE TRÁPAGA-TRAPAGARAN,PP,196
SANTURTZI,PP,1109
ORTUELLA,PP,98
SESTAO,PP,636
SOPUERTA,PP,25
TRUCIOS-TURTZIOZ,PP,9
BALMASEDA,PP,163
ZALLA,PP,105
ALONSOTEGI,PP,34
ZIERBENA,PP,13
ABADIÑO,PP,155
AMOREBIETA-ETXANO,PP,202
ARAKALDO,PP,1
ARANTZAZU,PP,0
ARRANKUDIAGA,PP,7
ARRIGORRIAGA,PP,193
BASAURI,PP,1142
BERRIZ,PP,77
ARTEA,PP,10
ZEANURI,PP,6
ZEBERIO,PP,3
DIMA,PP,2
DURANGO,PP,661
ETXEBARRI,PP,258
ELORRIO,PP,139
ERMUA,PP,791
GALDAKAO,PP,596
GARAI,PP,1
IZURTZA,PP,1
LEMOA,PP,28
MALLABIA,PP,6
MAÑARIA,PP,5
UGAO-MIRABALLES,PP,52
OTXANDIO,PP,10
URDUÑA/ORDUÑA,PP,76
OROZKO,PP,39
UBIDE,PP,0
ATXONDO,PP,10
BEDIA,PP,12
AREATZA,PP,24
IGORRE,PP,21
ZALDIBAR,PP,75
ZARATAMO,PP,25
IURRETA,PP,77
AMOROTO,PP,0
MUNITIBAR-ARBATZEGI GERRIKAITZ-,PP,0
ARRIETA,PP,0
BAKIO,PP,25
BARRIKA,PP,22
BERANGO,PP,217
BERMEO,PP,77
BERRIATUA,PP,1
BUSTURIA,PP,20
EA,PP,0
ETXEBARRIA,PP,3
ELANTXOBE,PP,1
EREÑO,PP,1
FRUIZ,PP,1
GAMIZ-FIKA,PP,11
GATIKA,PP,10
GAUTEGIZ ARTEAGA,PP,7
GORLIZ,PP,85
GETXO,PP,6081
GERNIKA-LUMO,PP,190
GIZABURUAGA,PP,0
IBARRANGELU,PP,2
ISPASTER,PP,1
LARRABETZU,PP,14
LAUKIZ,PP,52
LEIOA,PP,1013
LEMOIZ,PP,5
LEKEITIO,PP,38
MARKINA-XEMEIN,PP,27
MARURI-JATABE,PP,15
MENDATA,PP,0
MENDEXA,PP,2
MEÑAKA,PP,1
MORGA,PP,1
MUXIKA,PP,4
MUNDAKA,PP,7
MUNGIA,PP,366
AULESTI,PP,0
ONDARROA,PP,69
SUKARRIETA,PP,3
PLENTZIA,PP,79
ERRIGOITI,PP,2
LEZAMA,PP,23
SOPELA,PP,172
URDULIZ,PP,56
DERIO,PP,129
ERANDIO,PP,442
LOIU,PP,65
SONDIKA,PP,115
ZAMUDIO,PP,32
FORUA,PP,7
KORTEZUBI,PP,0
MURUETA,PP,0
NABARNIZ,PP,0
AJANGIZ,PP,2
ARRATZU,PP,0
ZIORTZA - BOLIBAR,PP,2
MUNICIPIO CERA BIZKAIA,PP,88
HERNANI,PP,228
DONOSTIA/SAN SEBASTIÁN,PP,7649
URNIETA,PP,99
USURBIL,PP,52
LASARTE-ORIA,PP,493
ASTIGARRAGA,PP,53
HONDARRIBIA,PP,308
IRUN,PP,1861
LEZO,PP,66
OIARTZUN,PP,75
PASAIA,PP,265
ERRENTERIA,PP,680
ABALTZISKETA,PP,0
ADUNA,PP,2
ALBIZTUR,PP,0
ALEGIA,PP,15
ALKIZA,PP,1
ALTZO,PP,0
AMEZKETA,PP,5
ANDOAIN,PP,236
ANOETA,PP,27
ARAMA,PP,1
ASTEASU,PP,10
ATAUN,PP,0
BEASAIN,PP,188
BELAUNTZA,PP,0
BERASTEGI,PP,5
BERROBI,PP,5
ZEGAMA,PP,0
ZERAIN,PP,0
ZIZURKIL,PP,34
ELDUAIN,PP,0
EZKIO-ITSASO,PP,1
GAINTZA,PP,0
GABIRIA,PP,1
HERNIALDE,PP,3
IBARRA,PP,42
IDIAZABAL,PP,22
IKAZTEGIETA,PP,2
IRURA,PP,8
ITSASONDO,PP,2
LARRAUL,PP,0
LAZKAO,PP,47
LEABURU,PP,1
LEGAZPI,PP,138
LEGORRETA,PP,16
LIZARTZA,PP,0
MUTILOA,PP,0
OLABERRIA,PP,26
OREXA,PP,0
ORMAIZTEGI,PP,6
SEGURA,PP,0
TOLOSA,PP,238
VILLABONA,PP,71
ORDIZIA,PP,142
URRETXU,PP,72
ZALDIBIA,PP,2
ZUMARRAGA,PP,190
BALIARRAIN,PP,0
ORENDAIN,PP,0
ALTZAGA,PP,0
GAZTELU,PP,1
AIZARNAZABAL,PP,0
ANTZUOLA,PP,16
ARETXABALETA,PP,62
AIA,PP,8
AZKOITIA,PP,107
AZPEITIA,PP,119
BEIZAMA,PP,1
BIDANIA-GOIATZ,PP,4
ZESTOA,PP,8
DEBA,PP,48
EIBAR,PP,562
ELGOIBAR,PP,169
ELGETA,PP,6
ESKORIATZA,PP,39
GETARIA,PP,7
ARRASATE/MONDRAGON,PP,340
MUTRIKU,PP,54
OÑATI,PP,101
ORIO,PP,59
SORALUZE-PLACENCIA DE LAS ARMAS,PP,80
ERREZIL,PP,0
LEINTZ-GATZAGA,PP,0
BERGARA,PP,120
ZARAUTZ,PP,403
ZUMAIA,PP,81
MENDARO,PP,22
MUNICIPIO CERA GIPUZKOA,PP,56
