TH;Cod Comarca;Cod Municipio;Ámbito;Censo;Votantes;Nulos;Válidos;Blancos;Votos Candidatura;Abstención;PSE-PSOE;PP;PH;PCTE / ELAK;PACMA/ATTKAA;PUM+J;Cs;I.FEM;SAIn;FAC;VOX;M.C.R.;ALTER;PIRATAS;RECORTES CERO-GV;EAJ-PNV... (E19);CXE;EH BILDU... (E19);CONTIGO;ADÑ;AxSÍ;PACT;CPE;MIEL;IZQP;PCPE-PCPC-PCPA;PODEMOS-IU;JUNTS;IGRE;VOLT;CV-EC;CEX-CREX-PREX
Bizkaia;"	04";"	035";FRUIZ;403;333;3;330;4;326;70;9;1;0;0;0;0;2;0;0;1;0;0;0;1;0;177;0;109;0;0;0;0;0;0;0;0;25;1;0;0;0;0
Bizkaia;"	04";"	038";GAMIZ-FIKA;1158;840;1;839;3;836;318;32;11;0;1;4;1;5;1;0;0;2;0;0;1;0;439;0;277;0;0;0;0;0;0;0;2;48;10;0;0;2;0
Bizkaia;"	04";"	040";GATIKA;1309;937;26;911;16;895;372;48;10;0;1;5;0;7;0;0;0;7;1;1;0;1;461;0;274;0;0;0;1;0;0;0;1;72;5;0;0;0;0
Bizkaia;"	04";"	041";GAUTEGIZ ARTEAGA;688;564;6;558;5;553;124;19;7;0;0;5;0;3;0;0;0;5;0;0;0;0;325;0;167;0;0;0;1;0;0;0;1;17;3;0;0;0;0
Bizkaia;"	04";"	043";GORLIZ;4560;3152;13;3139;25;3114;1408;286;85;0;1;36;2;61;4;0;5;23;0;0;2;9;1486;0;777;0;0;0;2;1;2;0;3;292;20;2;2;12;1
Bizkaia;"	04";"	044";GETXO;62225;41740;101;41639;271;41368;20485;5944;6081;11;32;332;51;2285;42;7;10;1028;4;19;11;86;15499;6;5833;3;18;7;19;23;7;19;67;3521;196;8;52;143;4
Bizkaia;"	04";"	046";GERNIKA-LUMO;12771;9141;59;9082;66;9016;3630;709;190;0;4;35;1;87;8;1;0;42;1;5;7;15;4338;4;2943;4;2;2;6;7;0;7;1;531;55;1;4;5;1
Bizkaia;"	04";"	047";GIZABURUAGA;148;109;1;108;2;106;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;66;0;0;0;0;0;0;0;0;6;0;0;0;0;0
Bizkaia;"	04";"	048";IBARRANGELU;541;432;3;429;7;422;109;11;2;0;2;6;0;3;0;0;1;0;0;0;0;0;197;0;163;1;0;1;0;0;0;0;0;22;12;0;0;1;0
Bizkaia;"	04";"	049";ISPASTER;546;432;;432;2;430;114;5;1;0;0;3;0;2;0;0;0;1;0;0;0;0;226;0;159;0;0;0;0;0;0;0;1;28;4;0;0;0;0
Bizkaia;"	04";"	052";LARRABETZU;1565;1253;5;1248;5;1243;312;34;14;0;0;7;0;7;1;0;0;2;0;1;0;0;453;0;656;0;0;0;1;0;0;0;0;54;7;0;1;5;0
Bizkaia;"	04";"	053";LAUKIZ;921;686;6;680;3;677;235;51;52;1;0;6;1;28;0;1;1;12;0;0;0;0;362;0;137;0;0;0;0;0;0;0;0;16;3;0;1;5;0
Bizkaia;"	04";"	054";LEIOA;25029;15943;57;15886;99;15787;9086;3094;1013;8;11;160;12;539;24;2;0;252;12;7;7;34;5972;4;2259;6;3;2;8;16;8;9;18;2198;44;5;21;38;1
Bizkaia;"	04";"	056";LEMOIZ;990;723;2;721;6;715;267;11;5;0;0;5;0;9;1;0;0;2;0;0;0;1;366;0;248;0;0;0;0;0;0;0;1;62;3;0;0;1;0
Bizkaia;"	04";"	057";LEKEITIO;5753;4301;23;4278;24;4254;1452;90;38;0;3;8;0;10;0;0;0;7;0;1;0;1;1983;0;1924;0;0;0;2;0;1;0;2;141;31;1;1;10;0
Bizkaia;"	04";"	060";MARKINA-XEMEIN;3634;2640;11;2629;12;2617;994;60;27;0;0;8;1;12;1;0;0;3;0;1;2;1;1306;0;1083;0;0;0;1;1;0;0;0;96;12;2;0;0;0
Bizkaia;"	04";"	061";MARURI-JATABE;794;591;1;590;3;587;203;28;15;0;1;5;2;11;0;0;1;3;0;0;1;1;291;0;166;0;0;0;0;1;0;0;1;48;12;0;0;0;0
Bizkaia;"	04";"	062";MENDATA;293;249;4;245;;245;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;87;0;0;0;0;0;0;0;0;12;3;0;0;1;0
Bizkaia;"	04";"	063";MENDEXA;358;293;3;290;3;287;65;6;2;0;0;2;2;1;1;1;0;0;0;0;0;0;133;0;121;0;0;0;0;0;0;1;0;14;2;0;0;1;0
Bizkaia;"	04";"	064";MEÑAKA;614;505;;505;3;502;109;8;1;0;0;3;2;4;0;0;0;1;0;0;0;0;201;0;255;0;0;0;1;0;0;0;0;22;2;0;0;2;0
Bizkaia;"	04";"	066";MORGA;348;273;;273;1;272;75;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;166;0;90;0;0;0;0;0;0;0;0;7;1;0;0;4;0
Bizkaia;"	04";"	067";MUXIKA;1138;862;4;858;5;853;276;22;4;0;1;0;1;3;1;0;0;0;0;0;1;1;401;0;370;1;0;0;0;0;1;0;0;42;3;0;0;1;0
Bizkaia;"	04";"	068";MUNDAKA;1530;1142;6;1136;4;1132;388;27;7;0;0;2;0;9;0;0;0;2;0;0;0;0;676;0;334;0;0;0;0;0;0;0;0;63;9;0;0;3;0
Bizkaia;"	04";"	069";MUNGIA;13152;8617;31;8586;54;8532;4535;742;366;1;3;53;4;251;6;2;1;124;0;1;2;10;4167;3;1893;1;5;1;2;11;2;0;4;813;34;1;1;28;0
Bizkaia;"	04";"	070";AULESTI;531;393;2;391;3;388;138;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;0;274;0;0;0;0;0;0;0;0;7;2;0;0;0;0
Bizkaia;"	04";"	073";ONDARROA;6832;4571;17;4554;27;4527;2261;141;69;2;0;15;2;26;0;0;0;8;0;1;1;0;1762;0;2239;1;0;1;0;1;0;0;1;242;14;0;0;1;0
Bizkaia;"	04";"	076";SUKARRIETA;286;218;2;216;3;213;68;11;3;0;0;0;0;2;0;0;0;0;0;0;0;0;143;0;44;0;0;1;0;0;0;0;0;5;2;0;0;2;0
Bizkaia;"	04";"	077";PLENTZIA;3402;2447;4;2443;19;2424;955;182;79;1;3;22;1;47;2;0;0;19;1;0;4;3;1166;0;635;1;0;0;0;1;0;1;3;213;17;1;3;17;2
Bizkaia;"	04";"	079";ERRIGOITI;400;341;1;340;3;337;59;5;2;0;0;4;0;3;0;0;0;3;0;0;0;0;164;0;141;0;0;0;0;0;0;0;0;14;1;0;0;0;0
Bizkaia;"	04";"	081";LEZAMA;1893;1443;21;1422;13;1409;450;93;23;0;0;11;0;9;0;0;0;3;0;0;0;2;839;0;342;0;1;0;0;0;0;0;0;79;4;0;1;2;0
Bizkaia;"	04";"	085";SOPELA;10726;7228;22;7206;54;7152;3498;786;172;2;1;95;5;149;5;1;0;59;0;2;4;16;2862;2;1874;1;3;0;5;4;1;1;9;1000;48;2;4;37;2
Bizkaia;"	04";"	089";URDULIZ;3477;2401;10;2391;15;2376;1076;242;56;0;0;22;0;49;4;0;0;15;0;2;2;1;1049;3;601;0;2;0;1;12;0;0;1;288;9;0;1;15;1
Bizkaia;"	04";"	901";DERIO;5151;3527;21;3506;26;3480;1624;675;129;4;0;31;5;74;0;0;0;29;2;0;4;1;1473;0;623;0;1;1;2;0;0;1;1;406;7;0;0;11;0
Bizkaia;"	04";"	902";ERANDIO;18978;11786;107;11679;112;11567;7192;2681;442;3;4;113;6;206;12;8;0;93;10;0;4;25;4432;3;1918;5;5;0;5;7;0;2;9;1510;23;5;4;30;2
Bizkaia;"	04";"	903";LOIU;1812;1331;5;1326;7;1319;481;83;65;0;1;9;0;43;2;0;0;13;0;0;0;1;824;0;172;1;0;0;0;0;0;0;0;96;5;0;0;4;0
Bizkaia;"	04";"	904";SONDIKA;3551;2492;13;2479;28;2451;1059;286;115;0;0;30;1;66;5;0;0;13;0;0;0;3;1219;0;466;2;0;1;5;2;1;0;3;215;9;1;0;6;2
Bizkaia;"	04";"	905";ZAMUDIO;2498;1810;18;1792;14;1778;688;178;32;0;3;4;1;21;2;1;0;6;0;0;0;0;905;0;480;0;2;0;0;0;0;0;0;130;7;0;0;5;1
Bizkaia;"	04";"	906";FORUA;753;625;6;619;5;614;128;18;7;0;0;3;0;3;0;0;0;1;0;0;0;0;341;0;210;0;0;0;0;0;0;0;0;30;0;0;1;0;0
Bizkaia;"	04";"	907";KORTEZUBI;338;292;2;290;1;289;46;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;0;110;0;0;0;0;0;0;0;0;6;2;0;0;0;0
Bizkaia;"	04";"	908";MURUETA;252;233;3;230;1;229;19;7;0;0;1;5;0;2;0;0;0;1;0;0;0;0;129;0;74;0;0;0;0;0;0;0;0;10;0;0;0;0;0
Bizkaia;"	04";"	909";NABARNIZ;203;184;2;182;1;181;19;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;74;0;100;0;0;0;0;0;0;0;0;4;1;0;0;0;0
Bizkaia;"	04";"	911";AJANGIZ;388;317;1;316;3;313;71;3;2;0;0;0;0;0;0;0;0;0;0;1;0;0;114;0;181;0;0;0;0;0;0;0;0;12;0;0;0;0;0
Bizkaia;"	04";"	914";ARRATZU;324;286;1;285;;285;38;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;150;0;119;0;0;0;0;0;0;0;0;8;3;0;0;0;0
Bizkaia;"	04";"	915";ZIORTZA - BOLIBAR;346;262;;262;1;261;84;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;95;0;153;0;0;0;0;0;0;0;0;8;0;0;0;0;0
Bizkaia;"	99";"	999";MUNICIPIO CERA BIZKAIA;39127;1092;3;1089;6;1083;38035;194;88;0;2;21;1;80;10;0;0;61;1;2;0;6;274;2;142;0;0;0;5;1;2;0;7;158;8;0;8;10;0
Gipuzkoa;"	01";"	040";HERNANI;15780;10126;93;10033;69;9964;5654;1444;228;3;5;69;3;146;8;0;0;53;4;0;5;14;2194;5;4457;2;1;2;2;3;1;4;6;1212;81;0;0;11;1
Gipuzkoa;"	01";"	069";DONOSTIA/SAN SEBASTIÁN;147847;95945;341;95604;671;94933;51902;20571;7649;28;78;917;88;3995;152;12;12;1557;43;50;62;267;27575;276;18753;11;22;16;53;120;13;36;196;11000;790;18;73;487;13
Gipuzkoa;"	01";"	072";URNIETA;4772;3042;41;3001;42;2959;1730;533;99;1;0;41;2;70;0;0;0;24;0;0;3;2;1084;2;747;0;0;1;1;1;0;1;2;318;15;2;0;9;1
Gipuzkoa;"	01";"	073";USURBIL;4706;3075;11;3064;25;3039;1631;299;52;1;3;11;0;33;7;0;1;9;0;2;3;2;677;1;1640;0;0;0;4;5;1;1;3;238;35;2;0;6;3
Gipuzkoa;"	01";"	902";LASARTE-ORIA;14248;9205;36;9169;69;9100;5043;3238;493;0;8;87;5;259;15;1;3;113;1;2;4;17;1647;0;1990;3;1;1;3;6;2;6;9;1109;47;1;2;26;1
Gipuzkoa;"	01";"	903";ASTIGARRAGA;4887;3173;20;3153;26;3127;1714;387;53;2;1;40;0;59;5;1;0;14;0;1;2;16;933;1;1215;0;0;0;0;4;2;2;0;357;24;1;3;4;0
Gipuzkoa;"	02";"	036";HONDARRIBIA;13243;8607;81;8526;84;8442;4636;1179;308;1;7;77;5;214;6;4;1;82;0;4;10;15;3671;2;1740;5;2;0;3;3;1;1;7;930;111;2;2;47;2
Gipuzkoa;"	02";"	045";IRUN;47085;28367;262;28105;267;27838;18718;8693;1861;12;23;300;20;1132;37;7;2;530;2;15;27;57;6900;13;3615;5;4;11;19;14;7;13;17;4269;87;7;22;105;12
Gipuzkoa;"	02";"	053";LEZO;4855;3109;58;3051;36;3015;1746;327;66;0;1;16;0;40;2;0;0;6;6;4;1;8;868;3;1325;0;1;0;0;0;0;1;4;325;6;0;0;4;1
Gipuzkoa;"	02";"	063";OIARTZUN;8081;5509;49;5460;47;5413;2572;290;75;3;3;24;0;37;2;1;0;16;1;0;4;1;1289;280;2935;0;0;2;1;2;2;4;0;405;29;0;0;6;1
Gipuzkoa;"	02";"	064";PASAIA;12457;7448;76;7372;62;7310;5009;1593;265;0;5;48;3;170;6;2;0;50;1;2;3;8;1788;0;2211;1;1;1;1;5;0;1;4;1100;32;2;0;6;1
Gipuzkoa;"	02";"	067";ERRENTERIA;30690;18835;107;18728;127;18601;11855;5241;680;8;12;186;7;368;18;4;4;120;1;6;12;26;3482;7;5347;2;2;4;7;7;1;14;15;2913;60;4;11;30;2
Gipuzkoa;"	03";"	001";ABALTZISKETA;253;177;2;175;3;172;76;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;86;0;79;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Gipuzkoa;"	03";"	002";ADUNA;356;260;5;255;6;249;96;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;155;0;0;0;0;0;0;0;0;13;6;0;0;0;0
Gipuzkoa;"	03";"	004";ALBIZTUR;229;143;1;142;2;140;86;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;40;0;0;0;1;0;0;0;0;8;1;0;0;0;0
Gipuzkoa;"	03";"	005";ALEGIA;1267;917;3;914;7;907;350;67;15;0;1;5;0;6;0;0;0;1;0;0;0;0;306;0;448;2;0;0;0;0;0;0;0;54;2;0;0;0;0
Gipuzkoa;"	03";"	006";ALKIZA;258;173;2;171;4;167;85;3;1;0;0;3;0;1;0;0;0;0;0;0;0;1;56;0;87;0;0;0;0;0;0;0;0;11;2;0;0;2;0
Gipuzkoa;"	03";"	007";ALTZO;329;232;3;229;4;225;97;2;0;0;0;1;2;1;0;0;0;0;0;0;0;0;58;0;149;0;0;0;0;0;0;0;0;10;0;0;0;2;0
Gipuzkoa;"	03";"	008";AMEZKETA;705;516;3;513;13;500;189;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;149;0;326;0;0;0;0;0;0;0;0;13;0;0;0;0;0
Gipuzkoa;"	03";"	009";ANDOAIN;11373;7320;36;7284;72;7212;4053;1847;236;5;4;50;3;134;1;0;0;44;1;2;8;14;1702;0;2249;0;0;2;2;5;1;4;4;821;40;1;3;27;2
Gipuzkoa;"	03";"	010";ANOETA;1530;1078;4;1074;9;1065;452;90;27;0;0;6;0;13;0;0;0;6;0;0;0;0;313;0;518;0;0;0;0;2;0;0;1;84;4;0;1;0;0
Gipuzkoa;"	03";"	012";ARAMA;149;100;;100;;100;49;5;1;0;0;0;0;0;0;0;0;0;1;0;0;0;39;0;53;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gipuzkoa;"	03";"	014";ASTEASU;1154;694;5;689;8;681;460;35;10;0;0;4;0;1;1;0;0;3;0;0;0;0;206;0;372;0;0;0;0;0;0;0;0;46;1;0;0;2;0
Gipuzkoa;"	03";"	015";ATAUN;1239;993;3;990;14;976;246;22;0;0;0;3;0;2;0;0;0;0;0;0;2;1;345;0;568;0;0;0;0;0;0;0;0;25;8;0;0;0;0
Gipuzkoa;"	03";"	019";BEASAIN;9931;6393;26;6367;61;6306;3538;1018;188;2;9;33;2;80;6;2;4;19;1;1;7;6;2551;2;1728;3;0;2;3;3;0;0;8;575;31;1;4;16;1
Gipuzkoa;"	03";"	021";BELAUNTZA;187;133;1;132;1;131;54;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;61;0;0;0;0;0;0;0;0;11;1;0;0;0;0
Gipuzkoa;"	03";"	022";BERASTEGI;854;661;2;659;9;650;193;28;5;0;0;2;0;1;0;0;0;0;0;0;0;3;261;0;313;0;0;0;0;0;0;0;0;29;8;0;0;0;0
Gipuzkoa;"	03";"	023";BERROBI;444;277;5;272;8;264;167;15;5;0;0;4;0;0;0;0;0;1;0;0;0;1;77;0;135;0;0;0;2;0;0;1;1;20;1;0;0;1;0
Gipuzkoa;"	03";"	025";ZEGAMA;1114;876;10;866;7;859;238;25;0;0;0;7;0;4;0;0;0;0;0;0;0;1;388;0;398;0;0;0;0;0;0;0;0;36;0;0;0;0;0
Gipuzkoa;"	03";"	026";ZERAIN;208;194;6;188;4;184;14;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;77;0;99;0;0;0;0;0;0;0;0;2;3;0;0;0;0
Gipuzkoa;"	03";"	028";ZIZURKIL;2257;1508;4;1504;9;1495;749;246;34;0;0;6;0;13;0;1;0;5;0;0;1;0;424;0;655;2;0;0;0;2;0;1;1;89;10;1;1;3;0
Gipuzkoa;"	03";"	031";ELDUAIN;184;116;1;115;2;113;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;73;0;0;0;0;0;0;0;0;2;0;0;0;0;0
Gipuzkoa;"	03";"	035";EZKIO-ITSASO;485;362;;362;3;359;123;12;1;0;0;0;0;5;0;0;0;0;0;0;1;0;136;0;178;0;0;0;0;0;0;0;0;25;1;0;0;0;0
Gipuzkoa;"	03";"	037";GAINTZA;101;79;;79;1;78;22;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;36;0;37;0;0;0;0;0;0;0;0;3;0;0;0;0;0
Gipuzkoa;"	03";"	038";GABIRIA;384;287;2;285;;285;97;7;1;0;0;4;1;0;0;0;0;0;0;0;0;0;111;0;148;0;0;0;1;0;0;0;1;8;3;0;0;0;0
Gipuzkoa;"	03";"	041";HERNIALDE;237;152;4;148;7;141;85;6;3;0;0;0;0;2;0;0;0;0;0;0;0;0;57;0;59;0;0;0;0;0;0;0;0;14;0;0;0;0;0
Gipuzkoa;"	03";"	042";IBARRA;3169;2053;13;2040;10;2030;1116;256;42;1;0;14;1;26;1;0;1;10;0;3;1;1;623;0;856;0;0;0;0;0;1;1;0;183;4;0;0;4;1
Gipuzkoa;"	03";"	043";IDIAZABAL;1738;1325;13;1312;16;1296;413;52;22;0;0;5;0;5;0;0;0;1;0;0;0;1;587;0;586;0;0;0;0;0;0;0;0;34;3;0;0;0;0
Gipuzkoa;"	03";"	044";IKAZTEGIETA;364;273;3;270;2;268;91;11;2;0;0;0;0;3;0;0;0;0;0;0;0;0;95;0;142;0;0;0;0;1;0;0;1;12;0;0;0;1;0
Gipuzkoa;"	03";"	046";IRURA;1253;857;3;854;13;841;396;64;8;1;0;2;0;20;1;0;0;5;0;0;0;0;301;0;376;0;0;0;0;0;0;0;0;57;4;0;0;1;1
Gipuzkoa;"	03";"	047";ITSASONDO;464;324;1;323;1;322;140;19;2;0;0;2;0;2;0;0;0;0;0;0;0;1;87;0;193;0;0;0;0;0;0;0;0;15;0;0;1;0;0
Gipuzkoa;"	03";"	048";LARRAUL;186;113;;113;4;109;73;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;26;0;63;0;0;0;0;0;0;0;0;11;3;0;0;2;0
Gipuzkoa;"	03";"	049";LAZKAO;4180;2951;20;2931;29;2902;1229;320;47;0;2;8;1;33;2;0;0;4;0;0;1;0;1017;0;1229;0;0;0;1;0;0;2;1;216;13;0;0;3;2
Gipuzkoa;"	03";"	050";LEABURU;273;202;1;201;3;198;71;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;63;0;125;0;0;0;0;0;0;0;0;6;0;0;0;0;0
Gipuzkoa;"	03";"	051";LEGAZPI;6774;4834;27;4807;45;4762;1940;732;138;2;2;28;1;77;3;0;0;30;1;6;1;5;1655;1;1671;2;1;1;1;3;0;3;5;378;13;0;0;2;0
Gipuzkoa;"	03";"	052";LEGORRETA;1069;821;5;816;5;811;248;69;16;0;0;0;0;4;1;0;0;1;0;0;0;0;296;0;362;0;0;0;0;0;0;0;0;57;5;0;0;0;0
Gipuzkoa;"	03";"	054";LIZARTZA;460;347;2;345;9;336;113;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;264;0;0;0;0;0;0;0;0;6;4;0;0;0;0
Gipuzkoa;"	03";"	057";MUTILOA;196;133;;133;1;132;63;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;38;0;79;0;0;0;0;0;0;0;0;7;1;0;0;0;1
Gipuzkoa;"	03";"	058";OLABERRIA;739;540;9;531;3;528;199;83;26;0;0;5;0;9;1;2;0;3;0;0;0;3;174;0;158;0;0;0;0;0;0;0;1;58;4;0;0;1;0
Gipuzkoa;"	03";"	060";OREXA;88;75;;75;;75;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gipuzkoa;"	03";"	062";ORMAIZTEGI;948;718;8;710;9;701;230;47;6;1;0;9;1;5;2;0;0;6;0;0;0;0;302;0;272;0;0;0;0;0;0;0;0;37;7;0;0;6;0
Gipuzkoa;"	03";"	070";SEGURA;1091;869;3;866;9;857;222;21;0;0;0;3;0;3;1;0;0;3;1;0;0;1;371;0;414;0;0;1;0;0;0;0;1;24;11;0;0;2;0
Gipuzkoa;"	03";"	071";TOLOSA;15064;10209;38;10171;84;10087;4855;1050;238;0;4;54;5;90;14;0;1;32;2;2;5;13;3863;3;3818;2;0;1;5;10;5;3;4;755;71;1;1;34;1
Gipuzkoa;"	03";"	075";VILLABONA;4344;2943;8;2935;35;2900;1401;320;71;0;4;19;0;41;2;2;0;13;0;1;0;2;935;0;1254;0;0;1;2;0;0;4;1;210;12;0;3;1;2
Gipuzkoa;"	03";"	076";ORDIZIA;7068;5059;18;5041;38;5003;2009;680;142;1;7;22;1;51;7;2;1;26;0;0;0;6;1705;0;1755;3;1;1;1;1;1;0;5;545;18;3;0;18;0
Gipuzkoa;"	03";"	077";URRETXU;5268;3662;20;3642;24;3618;1606;681;72;0;2;7;1;68;5;0;0;11;0;0;1;0;1381;1;1056;0;1;0;0;1;0;1;2;304;15;1;1;5;1
Gipuzkoa;"	03";"	078";ZALDIBIA;1141;851;2;849;11;838;290;34;2;0;0;4;1;3;0;0;0;0;0;0;0;2;192;0;570;0;0;0;1;0;0;0;0;25;3;0;0;1;0
Gipuzkoa;"	03";"	080";ZUMARRAGA;7723;5121;51;5070;75;4995;2602;1702;190;0;8;28;3;81;7;0;0;28;2;3;3;2;1269;2;1060;0;0;2;2;5;0;2;9;559;13;1;1;12;1
Gipuzkoa;"	03";"	904";BALIARRAIN;90;52;;52;;52;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;35;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Gipuzkoa;"	03";"	905";ORENDAIN;156;125;;125;2;123;31;0;0;0;0;2;0;0;0;0;0;0;0;1;0;2;31;0;83;0;0;0;0;0;0;0;0;2;1;0;0;1;0
Gipuzkoa;"	03";"	906";ALTZAGA;130;111;1;110;1;109;19;4;0;0;0;4;0;0;0;0;0;0;0;0;0;1;37;0;53;0;0;0;0;0;0;1;0;8;1;0;0;0;0
Gipuzkoa;"	03";"	907";GAZTELU;117;84;1;83;2;81;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;40;0;0;0;0;0;0;0;0;9;2;0;0;2;0
Gipuzkoa;"	04";"	003";AIZARNAZABAL;553;415;6;409;6;403;138;9;0;0;0;4;0;0;1;0;0;0;0;0;0;0;90;0;276;0;0;1;0;0;0;0;1;21;0;0;0;0;0
Gipuzkoa;"	04";"	011";ANTZUOLA;1631;1216;1;1215;12;1203;415;108;16;0;0;1;1;10;3;0;0;2;0;0;0;1;356;0;609;1;0;0;0;0;0;1;0;79;13;0;0;2;0
Gipuzkoa;"	04";"	013";ARETXABALETA;5437;3824;22;3802;31;3771;1613;431;62;0;4;8;0;34;2;0;0;12;1;1;3;4;1396;0;1460;3;0;0;2;14;0;3;3;290;32;0;1;5;0
Gipuzkoa;"	04";"	016";AIA;1535;1004;6;998;8;990;531;24;8;0;2;7;0;1;0;1;0;3;1;1;0;1;501;0;379;0;0;0;0;0;0;0;0;53;7;0;0;1;0
Gipuzkoa;"	04";"	017";AZKOITIA;8503;5909;57;5852;35;5817;2594;588;107;1;3;30;2;46;3;0;0;40;0;1;1;5;2465;1;2081;0;0;0;2;0;1;0;25;356;43;2;4;10;0
Gipuzkoa;"	04";"	018";AZPEITIA;11233;7872;54;7818;51;7767;3361;342;119;0;0;14;0;56;1;1;1;11;0;4;0;4;3154;5;3732;0;0;0;0;5;1;1;3;259;48;1;0;4;1
Gipuzkoa;"	04";"	020";BEIZAMA;114;76;;76;;76;38;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;37;0;0;0;0;0;0;0;0;4;0;0;0;3;0
Gipuzkoa;"	04";"	024";BIDANIA-GOIATZ;392;282;9;273;11;262;110;4;4;0;1;0;0;0;0;0;0;0;0;0;0;3;84;0;153;0;0;1;0;0;0;1;0;8;0;0;0;3;0
Gipuzkoa;"	04";"	027";ZESTOA;2760;1947;12;1935;18;1917;813;82;8;0;2;6;0;3;0;0;3;3;0;3;0;0;748;0;930;0;1;0;0;1;1;0;0;111;15;0;0;0;0
Gipuzkoa;"	04";"	029";DEBA;4288;3149;32;3117;31;3086;1139;270;48;0;0;12;3;31;2;0;0;13;1;0;0;7;1222;1;1165;1;0;0;0;0;0;1;2;281;21;0;1;3;1
Gipuzkoa;"	04";"	030";EIBAR;21247;14163;57;14106;110;13996;7084;4255;562;1;6;85;7;230;22;2;3;70;0;7;12;33;4043;2;3131;2;2;7;1;13;3;1;10;1375;48;3;10;39;11
Gipuzkoa;"	04";"	032";ELGOIBAR;8699;5823;58;5765;35;5730;2876;843;169;1;4;39;3;98;4;2;1;15;2;2;0;2;2348;0;1694;2;1;0;1;4;1;1;5;460;18;1;3;5;1
Gipuzkoa;"	04";"	033";ELGETA;859;633;2;631;6;625;226;24;6;0;0;5;0;4;1;1;0;3;0;0;0;2;226;0;310;0;0;0;0;0;0;0;0;40;1;0;0;2;0
Gipuzkoa;"	04";"	034";ESKORIATZA;3176;2241;16;2225;16;2209;935;240;39;2;3;19;2;30;0;0;2;6;1;167;0;7;853;0;615;0;0;0;1;2;1;1;1;201;12;1;1;2;0
Gipuzkoa;"	04";"	039";GETARIA;2145;1724;12;1712;7;1705;421;60;7;1;0;9;0;7;0;0;0;2;0;1;0;1;723;0;799;0;0;0;0;0;0;0;1;74;15;0;1;4;0
Gipuzkoa;"	04";"	055";ARRASATE/MONDRAGON;17370;11432;83;11349;81;11268;5938;1867;340;1;4;38;3;114;6;1;0;25;0;0;4;14;3643;2;3940;0;0;3;3;3;1;4;8;1195;38;0;3;6;2
Gipuzkoa;"	04";"	056";MUTRIKU;4084;2874;21;2853;22;2831;1210;135;54;0;0;14;1;21;2;0;0;7;0;6;0;2;1134;0;1257;0;0;0;2;1;0;0;0;175;11;0;1;8;0
Gipuzkoa;"	04";"	059";OÑATI;8870;6383;23;6360;24;6336;2487;371;101;0;6;22;1;35;4;0;0;9;0;2;2;3;2290;0;3148;0;1;0;0;1;1;0;2;295;28;0;0;13;1
Gipuzkoa;"	04";"	061";ORIO;4401;3059;22;3037;31;3006;1342;267;59;0;0;15;1;27;4;0;0;9;0;1;0;3;1267;2;1138;2;0;0;0;0;1;1;0;186;18;0;1;4;0
Gipuzkoa;"	04";"	065";SORALUZE-PLACENCIA DE LAS ARMAS;2947;2031;15;2016;15;2001;916;341;80;2;2;6;0;26;4;0;0;9;0;0;1;1;625;0;625;137;2;0;0;0;1;0;2;129;2;2;0;3;1
Gipuzkoa;"	04";"	066";ERREZIL;440;369;6;363;3;360;71;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;96;0;249;0;0;0;0;0;0;0;0;9;3;0;0;0;0
Gipuzkoa;"	04";"	068";LEINTZ-GATZAGA;187;113;1;112;1;111;74;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;34;0;72;0;0;0;0;0;0;0;0;4;0;0;0;0;0
