TH;Cod Comarca;Cod Municipio;Ámbito;Censo;Votantes;Nulos;Válidos;Blancos;Votos Candidatura;Abstención;PSE-PSOE;PP;PH;PCTE / ELAK;PACMA/ATTKAA;PUM+J;Cs;I.FEM;SAIn;FAC;VOX;M.C.R.;ALTER;PIRATAS;RECORTES CERO-GV;EAJ-PNV... (E19);CXE;EH BILDU... (E19);CONTIGO;ADÑ;AxSÍ;PACT;CPE;MIEL;IZQP;PCPE-PCPC-PCPA;PODEMOS-IU;JUNTS;IGRE;VOLT;CV-EC;CEX-CREX-PREX
Bizkaia;"	02";"	042";GORDEXOLA;1358;1063;11;1052;14;1038;295;91;56;0;0;9;0;29;1;0;1;11;0;0;0;0;596;0;155;0;0;0;0;0;0;0;0;80;6;0;0;3;0
Bizkaia;"	02";"	045";GÜEÑES;5213;3853;41;3812;31;3781;1360;514;103;0;1;27;0;37;2;0;1;14;0;1;1;2;1741;1;954;1;1;0;0;4;0;2;2;356;6;0;2;7;1
Bizkaia;"	02";"	051";LANESTOSA;217;173;2;171;;171;44;12;0;0;0;1;0;5;0;0;0;0;0;0;0;5;89;0;35;1;0;0;0;0;0;0;0;21;2;0;0;0;0
Bizkaia;"	02";"	071";MUSKIZ;6046;4330;37;4293;42;4251;1716;990;84;1;1;25;3;44;5;0;1;24;2;0;2;4;1821;3;737;0;5;0;2;2;1;0;0;483;3;0;1;7;0
Bizkaia;"	02";"	078";PORTUGALETE;38015;24116;109;24007;191;23816;13899;7927;1499;7;24;198;18;544;25;4;2;243;1;10;10;26;6885;21;2815;13;11;11;7;11;1;16;17;3320;68;9;16;53;4
Bizkaia;"	02";"	080";VALLE DE TRÁPAGA-TRAPAGARAN;9949;6626;44;6582;43;6539;3323;1752;196;3;1;61;6;90;2;0;1;51;4;1;5;10;2359;0;1101;2;2;0;5;2;1;2;6;834;15;2;5;20;0
Bizkaia;"	02";"	082";SANTURTZI;37404;23735;125;23610;174;23436;13669;5826;1109;4;8;202;17;493;17;6;5;232;6;8;5;41;8372;4;3663;4;7;1;9;19;3;12;28;3258;25;12;8;28;4
Bizkaia;"	02";"	083";ORTUELLA;6952;4702;17;4685;37;4648;2250;1037;98;0;3;37;1;56;1;0;0;25;1;2;2;3;1769;0;685;0;2;0;1;2;0;1;9;900;5;1;2;4;1
Bizkaia;"	02";"	084";SESTAO;21847;13596;103;13493;106;13387;8251;3712;636;4;10;148;13;257;10;1;0;95;1;7;8;23;4574;8;1709;5;2;3;4;4;1;9;16;2073;23;3;4;17;7
Bizkaia;"	02";"	086";SOPUERTA;2024;1473;24;1449;29;1420;551;147;25;0;1;5;1;26;1;0;0;6;0;0;0;2;673;0;346;0;0;0;0;0;0;1;1;172;5;0;2;6;0
Bizkaia;"	02";"	087";TRUCIOS-TURTZIOZ;435;385;5;380;4;376;50;28;9;0;0;0;0;2;0;0;0;3;0;0;0;1;248;0;58;0;0;0;0;0;0;0;0;27;0;0;0;0;0
Bizkaia;"	02";"	090";BALMASEDA;6021;4442;68;4374;39;4335;1579;879;163;0;5;22;2;91;1;0;0;47;0;1;2;6;2045;2;636;0;0;0;1;3;0;1;2;398;18;0;0;9;1
Bizkaia;"	02";"	096";ZALLA;6563;5059;62;4997;47;4950;1504;666;105;6;4;38;6;82;6;4;0;31;0;1;2;5;2725;2;730;2;3;0;2;0;0;2;5;494;10;1;4;13;1
Bizkaia;"	02";"	912";ALONSOTEGI;2328;1726;12;1714;13;1701;602;222;34;0;2;7;1;25;1;0;0;10;0;1;2;2;744;1;472;0;3;0;1;1;0;0;1;166;1;0;3;1;0
Bizkaia;"	02";"	913";ZIERBENA;1226;899;9;890;8;882;327;64;13;0;0;3;0;12;1;0;0;3;0;0;0;1;486;0;220;0;0;0;0;0;0;0;0;69;8;0;0;1;1
Bizkaia;"	03";"	001";ABADIÑO;5900;4045;26;4019;51;3968;1855;643;155;3;1;38;2;98;5;0;0;35;0;0;0;6;1267;0;1278;1;1;0;2;2;2;1;1;403;10;0;1;11;2
Bizkaia;"	03";"	003";AMOREBIETA-ETXANO;14628;10144;61;10083;70;10013;4484;1199;202;1;1;72;5;135;7;0;1;47;4;10;2;28;4381;5;2831;0;0;1;1;10;5;3;19;1001;25;4;0;11;2
