index,Ámbito,Partido,Votos
75,ARAKALDO,PSE-PSOE,5
76,ARANTZAZU,PSE-PSOE,5
77,ARRANKUDIAGA,PSE-PSOE,18
78,ARRIGORRIAGA,PSE-PSOE,1064
79,BASAURI,PSE-PSOE,5302
80,BERRIZ,PSE-PSOE,351
81,ARTEA,PSE-PSOE,8
82,ZEANURI,PSE-PSOE,7
83,ZEBERIO,PSE-PSOE,13
84,DIMA,PSE-PSOE,6
85,DURANGO,PSE-PSOE,2042
86,ETXEBARRI,PSE-PSOE,1416
87,ELORRIO,PSE-PSOE,404
88,ERMUA,PSE-PSOE,2763
89,GALDAKAO,PSE-PSOE,2680
90,GARAI,PSE-PSOE,6
91,IZURTZA,PSE-PSOE,3
92,LEMOA,PSE-PSOE,145
93,MALLABIA,PSE-PSOE,58
94,MAÑARIA,PSE-PSOE,5
95,UGAO-MIRABALLES,PSE-PSOE,241
96,OTXANDIO,PSE-PSOE,24
97,URDUÑA/ORDUÑA,PSE-PSOE,225
98,OROZKO,PSE-PSOE,65
99,UBIDE,PSE-PSOE,4
100,ATXONDO,PSE-PSOE,56
101,BEDIA,PSE-PSOE,40
102,AREATZA,PSE-PSOE,24
103,IGORRE,PSE-PSOE,92
104,ZALDIBAR,PSE-PSOE,282
105,ZARATAMO,PSE-PSOE,114
106,IURRETA,PSE-PSOE,330
107,AMOROTO,PSE-PSOE,2
108,MUNITIBAR-ARBATZEGI GERRIKAITZ-,PSE-PSOE,5
109,ARRIETA,PSE-PSOE,9
110,BAKIO,PSE-PSOE,59
111,BARRIKA,PSE-PSOE,86
112,BERANGO,PSE-PSOE,548
113,BERMEO,PSE-PSOE,375
114,BERRIATUA,PSE-PSOE,16
115,BUSTURIA,PSE-PSOE,63
116,EA,PSE-PSOE,3
117,ETXEBARRIA,PSE-PSOE,8
118,ELANTXOBE,PSE-PSOE,3
119,EREÑO,PSE-PSOE,3
120,FRUIZ,PSE-PSOE,9
121,GAMIZ-FIKA,PSE-PSOE,32
122,GATIKA,PSE-PSOE,48
123,GAUTEGIZ ARTEAGA,PSE-PSOE,19
124,GORLIZ,PSE-PSOE,286
125,GETXO,PSE-PSOE,5944
126,GERNIKA-LUMO,PSE-PSOE,709
127,GIZABURUAGA,PSE-PSOE,0
128,IBARRANGELU,PSE-PSOE,11
129,ISPASTER,PSE-PSOE,5
130,LARRABETZU,PSE-PSOE,34
131,LAUKIZ,PSE-PSOE,51
132,LEIOA,PSE-PSOE,3094
133,LEMOIZ,PSE-PSOE,11
134,LEKEITIO,PSE-PSOE,90
135,MARKINA-XEMEIN,PSE-PSOE,60
136,MARURI-JATABE,PSE-PSOE,28
137,MENDATA,PSE-PSOE,0
138,MENDEXA,PSE-PSOE,6
139,MEÑAKA,PSE-PSOE,8
140,MORGA,PSE-PSOE,1
141,MUXIKA,PSE-PSOE,22
142,MUNDAKA,PSE-PSOE,27
143,MUNGIA,PSE-PSOE,742
144,AULESTI,PSE-PSOE,4
145,ONDARROA,PSE-PSOE,141
146,SUKARRIETA,PSE-PSOE,11
147,PLENTZIA,PSE-PSOE,182
148,ERRIGOITI,PSE-PSOE,5
149,LEZAMA,PSE-PSOE,93
150,SOPELA,PSE-PSOE,786
151,URDULIZ,PSE-PSOE,242
152,DERIO,PSE-PSOE,675
153,ERANDIO,PSE-PSOE,2681
154,LOIU,PSE-PSOE,83
155,SONDIKA,PSE-PSOE,286
156,ZAMUDIO,PSE-PSOE,178
157,FORUA,PSE-PSOE,18
158,KORTEZUBI,PSE-PSOE,2
159,MURUETA,PSE-PSOE,7
160,NABARNIZ,PSE-PSOE,0
161,AJANGIZ,PSE-PSOE,3
162,ARRATZU,PSE-PSOE,4
163,ZIORTZA - BOLIBAR,PSE-PSOE,2
164,MUNICIPIO CERA BIZKAIA,PSE-PSOE,194
165,HERNANI,PSE-PSOE,1444
166,DONOSTIA/SAN SEBASTIÁN,PSE-PSOE,20571
167,URNIETA,PSE-PSOE,533
168,USURBIL,PSE-PSOE,299
169,LASARTE-ORIA,PSE-PSOE,3238
170,ASTIGARRAGA,PSE-PSOE,387
171,HONDARRIBIA,PSE-PSOE,1179
172,IRUN,PSE-PSOE,8693
173,LEZO,PSE-PSOE,327
174,OIARTZUN,PSE-PSOE,290
175,PASAIA,PSE-PSOE,1593
176,ERRENTERIA,PSE-PSOE,5241
177,ABALTZISKETA,PSE-PSOE,3
178,ADUNA,PSE-PSOE,3
179,ALBIZTUR,PSE-PSOE,7
180,ALEGIA,PSE-PSOE,67
181,ALKIZA,PSE-PSOE,3
182,ALTZO,PSE-PSOE,2
183,AMEZKETA,PSE-PSOE,7
184,ANDOAIN,PSE-PSOE,1847
185,ANOETA,PSE-PSOE,90
186,ARAMA,PSE-PSOE,5
187,ASTEASU,PSE-PSOE,35
